date,TemP,pH,Turb,Chl,DO
2021/1/6 6:00,28.35,8.06,1.45,4.1,6.26
2021/1/6 7:00,28.075,8.04,0.85,5.1,6.195
2021/1/6 8:00,27.855,8.03,2.35,6.45,6.34
2021/1/6 9:00,27.98,8.06,1,9.45,6.62
2021/1/6 10:00,28.29,8.065,1.45,7.75,6.77
2021/1/6 11:00,28.465,8.085,0.85,7.45,6.83
2021/1/6 12:00,28.53,8.12,0.9,7.75,6.98
2021/1/6 13:00,28.65,8.125,2.5,8.5,6.87
2021/1/6 14:00,28.75,8.15,2.6,8.15,6.995
2021/1/6 15:00,28.775,8.24,1.5,11.45,7.74
2021/1/6 16:00,28.73,8.22,1.75,10.55,7.415
2021/1/6 17:00,28.66,8.2,2.6,9.15,7.18
2021/1/6 18:00,28.545,8.145,2.55,6.65,6.76
2021/1/6 19:00,28.47,8.125,2.65,5.7,6.635
2021/1/6 20:00,28.365,8.105,3.15,6.35,6.635
2021/1/6 21:00,28.2,8.08,1.85,5.9,6.63
2021/1/6 22:00,27.99,8.075,0.95,5.05,6.62
2021/1/6 23:00,27.93,8.075,0.85,6.1,6.59
2021/1/7 0:00,27.985,8.06,2.3,6.05,6.5
2021/1/7 1:00,28.01,8.075,1.65,5.75,6.5
2021/1/7 2:00,27.995,8.09,1.55,6,6.435
2021/1/7 3:00,27.95,8.125,1.95,6.75,6.365
2021/1/7 4:00,27.915,8.115,1.8,6.85,6.28
2021/1/7 5:00,27.72,8.115,1.55,5.5,6.315
2021/1/7 6:00,27.725,8.09,2.4,5.25,6.145
2021/1/7 7:00,27.83,8.075,2.15,4,6.06
2021/1/7 8:00,27.92,8.06,1.75,3,6.01
2021/1/7 9:00,27.71,8.055,0.95,4.95,6.235
2021/1/7 10:00,27.62,8.085,1.95,7.4,6.66
2021/1/7 11:00,27.845,8.1,2.1,8.65,6.895
2021/1/7 12:00,27.845,8.13,2.75,12.3,7.13
2021/1/7 13:00,27.92,8.12,2.9,9.75,6.9
2021/1/7 14:00,28.115,8.1,3.95,6.4,6.505
2021/1/7 15:00,28.195,8.11,2.6,6.75,6.59
2021/1/7 16:00,28.19,8.16,1.75,9.05,7
2021/1/7 17:00,28.115,8.16,1.75,8.8,6.86
2021/1/7 18:00,27.985,8.135,2.2,7,6.545
2021/1/7 19:00,27.885,8.105,2.25,5.25,6.305
2021/1/7 20:00,27.76,8.08,2.2,4.55,6.31
2021/1/7 21:00,27.575,8.07,2.15,5.15,6.41
2021/1/7 22:00,27.275,8.06,4.7,5,6.57
2021/1/7 23:00,27.255,8.045,1.3,4.75,6.57
2021/1/8 0:00,27.14,8.065,0.9,4.4,6.635
2021/1/8 1:00,27.25,8.04,1.55,5.05,6.465
2021/1/8 2:00,27.29,8.04,1.95,4.8,6.325
2021/1/8 3:00,27.13,8.06,1.35,4.65,6.305
2021/1/8 4:00,27.265,8.065,1.75,5.3,6.11
2021/1/8 5:00,27.245,8.075,1.5,5.2,6.03
2021/1/8 6:00,27.195,8.085,1.95,5.4,6.07
2021/1/8 7:00,27.22,8.08,3.1,5,5.93
2021/1/8 8:00,27.375,8.055,1.75,3.8,5.84
2021/1/8 9:00,27.49,8.055,1.4,3,5.88
2021/1/8 10:00,27.625,8.055,1.5,5.8,6.2
2021/1/8 11:00,27.995,8.075,1.5,4.5,6.48
2021/1/8 12:00,28.085,8.1,1.6,5.65,6.78
2021/1/8 13:00,28.52,8.1,3.95,7.3,6.96
2021/1/8 14:00,28.35,8.145,2.55,8.7,7.11
2021/1/8 15:00,28.35,8.175,2.6,9.85,7.175
2021/1/8 16:00,28.19,8.19,3.45,10,7.125
2021/1/8 17:00,28.1,8.19,2.75,10.05,7.1
2021/1/8 18:00,28.115,8.225,1.75,10.95,7.44
2021/1/8 19:00,27.79,8.17,2.6,8.35,6.83
2021/1/8 20:00,27.725,8.125,2.3,6.3,6.575
2021/1/8 21:00,27.59,8.095,1.85,4.25,6.4
2021/1/8 22:00,27.44,8.065,1.5,4,6.38
2021/1/8 23:00,27.345,8.055,1.3,3.6,6.425
2021/1/9 0:00,27.26,8.05,0.85,4.3,6.485
2021/1/9 1:00,27.2,8.065,0.75,3.85,6.495
2021/1/9 2:00,27.155,8.045,1.1,4.35,6.405
2021/1/9 3:00,27.08,8.05,1.2,4.35,6.34
2021/1/9 4:00,27.135,8.055,1.45,4.35,6.225
2021/1/9 5:00,26.995,8.07,2.45,5.5,6.145
2021/1/9 6:00,27.055,8.09,3.2,7.2,6.13
2021/1/9 7:00,27.055,8.115,5.15,7.55,6.19
2021/1/9 8:00,27.23,8.09,6.8,5.9,6.075
2021/1/9 9:00,27.485,8.085,3.45,3.8,6.045
2021/1/9 10:00,27.76,8.075,2.6,3.95,6.245
2021/1/9 11:00,28.01,8.085,3,5.35,6.515
2021/1/9 12:00,28.325,8.1,2.9,5.35,6.725
2021/1/9 13:00,28.69,8.12,2.8,5.05,7
2021/1/9 14:00,28.955,8.13,5.2,8.45,7.305
2021/1/9 15:00,28.78,8.175,4.35,10.2,7.425
2021/1/9 16:00,28.515,8.185,3.25,11,7.405
2021/1/9 17:00,28.29,8.19,4.1,9.3,7.18
2021/1/9 18:00,28.105,8.17,3.4,8.2,6.92
2021/1/9 19:00,28.185,8.19,2.15,8.45,7.105
2021/1/9 20:00,27.99,8.16,2.5,6.25,6.78
2021/1/9 21:00,27.97,8.135,2.65,5.1,6.59
2021/1/9 22:00,27.885,8.09,3.05,4.4,6.39
2021/1/9 23:00,27.905,8.065,2.3,3.15,6.335
2021/1/10 0:00,27.955,8.04,1.4,3.15,6.315
2021/1/10 1:00,27.935,8.02,1.6,3.1,6.295
2021/1/10 2:00,27.9,8.035,1.05,3.45,6.33
2021/1/10 3:00,27.84,8.025,1.95,3.65,6.285
2021/1/10 4:00,27.735,8.02,2.25,4.3,6.195
2021/1/10 5:00,27.665,8.055,3.85,3.8,6.14
2021/1/10 6:00,27.615,8.09,8.2,6.35,6.14
2021/1/10 7:00,27.7,8.11,7.25,7.15,6.165
2021/1/10 8:00,27.825,8.125,8.1,7.25,6.26
2021/1/10 9:00,27.945,8.095,10.75,6.1,6.155
2021/1/10 10:00,28.15,8.085,5.9,5.2,6.21
2021/1/10 11:00,28.45666667,8.07,3.633333333,4.466666667,6.33
2021/1/10 12:00,28.82,7.976666667,3.9,4.366666667,6.376666667
2021/1/10 13:00,29.13,7.82,3.5,5.15,6.58
2021/1/10 14:00,29.54,7.82,2.25,4.65,6.745
2021/1/10 15:00,29.715,7.85,2.25,7.35,6.975
2021/1/10 16:00,29.755,7.87,5.55,8.85,7.245
2021/1/10 17:00,29.245,7.875,4.35,9.15,7.08
2021/1/10 18:00,28.895,7.88,3.85,7.3,6.83
2021/1/10 19:00,28.69,7.86,3.5,6.75,6.595
2021/1/10 20:00,28.605,7.865,2.15,5.7,6.565
2021/1/10 21:00,28.53,7.85,3.7,5.8,6.395
2021/1/10 22:00,28.54,7.805,2.7,4.15,6.13
2021/1/10 23:00,28.46,7.76,1.8,2.55,5.96
2021/1/11 0:00,28.52,7.74,2.7,2.8,5.91
2021/1/11 1:00,28.61,7.715,1.25,2.9,5.89
2021/1/11 2:00,28.62,7.69,0.95,2.35,5.875
2021/1/11 3:00,28.58,7.705,1,3.3,5.89
2021/1/11 4:00,28.47,7.695,1.3,3.35,5.84
2021/1/11 5:00,28.335,7.695,2.1,3.8,5.775
2021/1/11 6:00,28.235,7.76,9.75,5.9,5.785
2021/1/11 7:00,28.28,7.805,15.25,7.8,5.86
2021/1/11 8:00,28.43,7.815,10.25,7.65,5.905
2021/1/11 9:00,28.58,7.81,14.8,7.45,5.945
2021/1/11 10:00,28.74,7.775,12.75,5.5,5.82
2021/1/11 11:00,29.01,7.76,5.7,3.9,5.895
2021/1/11 12:00,29.36,7.765,4.4,4.15,6.115
2021/1/11 13:00,29.69,7.77,4.05,4.75,6.33
2021/1/11 14:00,30.065,7.785,3.15,4.2,6.545
2021/1/11 15:00,30.31,7.81,2.35,4.75,6.815
2021/1/11 16:00,30.35,7.815,3.45,5.7,6.89
2021/1/11 17:00,30.08,7.82,4.3,7.25,6.815
2021/1/11 18:00,29.73,7.83,4.9,7.05,6.685
2021/1/11 19:00,29.37,7.845,3.55,6.15,6.46
2021/1/11 20:00,29.135,7.83,3.7,5.95,6.25
2021/1/11 21:00,29.075,7.825,4.25,5.9,6.155
2021/1/11 22:00,29.065,7.8,4.45,4.55,6.005
2021/1/11 23:00,29.1,7.76,2.4,3.45,5.87
2021/1/12 0:00,29.115,7.73,2.4,3,5.765
2021/1/12 1:00,29.175,7.715,2.65,2.35,5.745
2021/1/12 2:00,29.2,7.71,1.9,2.95,5.745
2021/1/12 3:00,29.16,7.675,1.15,2.9,5.72
2021/1/12 4:00,29.09,7.685,0.9,3.05,5.74
2021/1/12 5:00,28.965,7.66,1.6,3.05,5.655
2021/1/12 6:00,28.96,7.695,3.15,3.7,5.615
2021/1/12 7:00,28.835,7.75,15.1,5.65,5.64
2021/1/12 8:00,28.88,7.79,12.6,7.5,5.71
2021/1/12 9:00,29.065,7.81,9.45,6.75,5.815
2021/1/12 10:00,29.265,7.805,14.95,7.45,5.88
2021/1/12 11:00,29.44,7.765,11.15,5.3,5.755
2021/1/12 12:00,29.695,7.745,6.05,5.35,5.825
2021/1/12 13:00,29.99,7.745,4.75,4.7,6.005
2021/1/12 14:00,30.325,7.75,5.6,5.2,6.245
2021/1/12 15:00,30.44,7.76,5.1,5.5,6.365
2021/1/12 16:00,30.465,7.78,2.5,5.2,6.53
2021/1/12 17:00,30.37,7.76,4,5.2,6.53
2021/1/12 18:00,30.225,7.765,4.85,6.9,6.42
2021/1/12 19:00,29.97,7.78,3.5,7,6.34
2021/1/12 20:00,29.69,7.775,4.4,6.5,6.04
2021/1/12 21:00,29.52,7.775,3.9,5.45,5.915
2021/1/12 22:00,29.43,7.785,4.5,5.15,5.91
2021/1/12 23:00,29.495,7.75,5.3,4.4,5.69
2021/1/13 0:00,29.585,7.72,3.35,2.85,5.56
2021/1/13 1:00,29.67,7.7,3.3,2.8,5.5
2021/1/13 2:00,29.71,7.67,3,3.35,5.495
2021/1/13 3:00,29.7,7.68,1.95,3.15,5.475
2021/1/13 4:00,29.655,7.66,1.8,3.3,5.46
2021/1/13 5:00,29.625,7.675,2,3,5.45
2021/1/13 6:00,29.63,7.665,3.6,3.5,5.365
2021/1/13 7:00,29.54,7.72,8.9,4.35,5.37
2021/1/13 8:00,29.41,7.77,16,6,5.445
2021/1/13 9:00,29.59,7.795,8.7,6.35,5.585
2021/1/13 10:00,29.52,7.805,8.45,5.8,5.61
2021/1/13 11:00,29.955,7.78,14.3,5.8,5.695
2021/1/13 12:00,30.085,7.755,9.25,5.55,5.67
2021/1/13 13:00,30.29,7.73,6.1,5.65,5.75
2021/1/13 14:00,30.565,7.75,5,5.6,5.995
2021/1/13 15:00,30.87,7.76,4.65,5.85,6.215
2021/1/13 16:00,31.015,7.745,5.2,5.6,6.38
2021/1/13 17:00,31.065,7.78,2.25,5.9,6.605
2021/1/13 18:00,30.815,7.735,5.5,6.6,6.37
2021/1/13 19:00,30.63,7.75,4.8,7.45,6.285
2021/1/13 20:00,30.335,7.76,5.05,7.25,6
2021/1/13 21:00,30.105,7.755,3.3,5.75,5.845
2021/1/13 22:00,29.985,7.76,3.45,5.35,5.725
2021/1/13 23:00,29.915,7.77,5.2,5.15,5.635
2021/1/14 0:00,29.985,7.735,4.35,3.95,5.49
2021/1/14 1:00,30.105,7.71,3.6,3.3,5.415
2021/1/14 2:00,30.165,7.71,2.95,3.4,5.405
2021/1/14 3:00,30.185,7.7,2.8,2.9,5.4
2021/1/14 4:00,30.14,7.655,2.5,3.35,5.375
2021/1/14 5:00,30.09,7.68,1.4,3.35,5.415
2021/1/14 6:00,30.02,7.675,2.2,3.35,5.4
2021/1/14 7:00,30.1,7.685,3,3.35,5.37
2021/1/14 8:00,29.915,7.73,9.5,5.4,5.33
2021/1/14 9:00,29.8,7.775,10.1,5.8,5.42
2021/1/14 10:00,29.915,7.79,6.75,6.1,5.51
2021/1/14 11:00,29.975,7.8,8.6,6.7,5.59
2021/1/14 12:00,30.245,7.78,11.6,6.15,5.605
2021/1/14 13:00,30.45,7.755,5.85,4.85,5.61
2021/1/14 14:00,30.845,7.755,3.35,5,5.915
2021/1/14 15:00,31.005,7.775,4.55,6.25,6.225
2021/1/14 16:00,31.19,7.785,3.8,6.5,6.425
2021/1/14 17:00,31.21,7.8,5.75,7.15,6.675
2021/1/14 18:00,31.075,7.79,4.4,8.1,6.605
2021/1/14 19:00,30.92,7.77,4.95,7.05,6.375
2021/1/14 20:00,30.725,7.765,3.95,7.3,6.255
2021/1/14 21:00,30.455,7.765,4.25,6.35,5.96
2021/1/14 22:00,30.3,7.76,3.4,5.9,5.81
2021/1/14 23:00,30.125,7.775,3.05,5.7,5.675
2021/1/15 0:00,30.135,7.75,4.1,4.95,5.6
2021/1/15 1:00,30.285,7.715,3.05,3.5,5.455
2021/1/15 2:00,30.37,7.71,2.3,3.2,5.45
2021/1/15 3:00,30.385,7.695,2.65,3.25,5.455
2021/1/15 4:00,30.37,7.675,3.15,3.4,5.46
2021/1/15 5:00,30.29,7.67,1.7,3.1,5.46
2021/1/15 6:00,30.265,7.68,1.15,3.55,5.48
2021/1/15 7:00,30.26,7.665,1.9,4.2,5.475
2021/1/15 8:00,30.185,7.69,4.35,4.25,5.34
2021/1/15 9:00,29.8,7.75,6.9,4.95,5.675
2021/1/15 10:00,29.96,7.76,5.25,5.25,5.7
2021/1/15 11:00,30.005,7.775,4,6.25,5.705
2021/1/15 12:00,30.25,7.785,6.55,5.3,5.75
2021/1/15 13:00,30.355,7.75,6.95,5.55,5.61
2021/1/15 14:00,30.51,7.73,5.05,5.4,5.57
2021/1/15 15:00,30.645,7.73,3.75,4.85,5.82
2021/1/15 16:00,30.62,7.73,3.8,6.7,5.98
2021/1/15 17:00,30.63,7.73,6.1,6.5,6.06
2021/1/15 18:00,30.57,7.73,2.95,6.45,6.125
2021/1/15 19:00,30.4,7.715,4.2,5.7,6.02
2021/1/15 20:00,30.245,7.7,5.85,4.9,5.82
2021/1/15 21:00,30.295,7.71,4.35,5.55,5.69
2021/1/15 22:00,30.14,7.715,4.2,4.55,5.465
2021/1/15 23:00,30.06,7.72,3.1,3.9,5.4
2021/1/16 0:00,29.975,7.735,3.4,4,5.325
2021/1/16 1:00,29.92,7.71,4.2,3.7,5.26
2021/1/16 2:00,30.025,7.695,3,3.15,5.215
2021/1/16 3:00,30.03,7.675,2.8,2.8,5.21
2021/1/16 4:00,29.96,7.66,3.15,2.95,5.25
2021/1/16 5:00,29.805,7.65,2.4,3.35,5.27
2021/1/16 6:00,29.735,7.655,2.6,3.2,5.25
2021/1/16 7:00,29.8,7.65,2.55,2.9,5.31
2021/1/16 8:00,29.96,7.66,2.85,2.75,5.37
2021/1/16 9:00,30.205,7.675,4,3.45,5.225
2021/1/16 10:00,30.2,7.705,5.7,4.85,5.28
2021/1/16 11:00,30.365,7.72,3.85,4.65,5.395
2021/1/16 12:00,30.345,7.74,3.55,4.7,5.585
2021/1/16 13:00,30.48,7.745,5.75,5.3,5.625
2021/1/16 14:00,30.7,7.72,4.9,5.45,5.625
2021/1/16 15:00,30.81,7.72,3.4,6.35,5.71
2021/1/16 16:00,30.875,7.73,3.4,6.7,5.98
2021/1/16 17:00,30.92,7.77,4.4,8.7,6.43
2021/1/16 18:00,30.83,7.76,4.8,8.85,6.495
2021/1/16 19:00,30.69,7.77,2.9,7.45,6.5
2021/1/16 20:00,30.63,7.755,4.55,8,6.265
2021/1/16 21:00,30.565,7.735,4,6.85,6.03
2021/1/16 22:00,30.435,7.715,3.8,6.45,5.745
2021/1/16 23:00,30.21,7.72,2.7,4.8,5.585
2021/1/17 0:00,30.115,7.72,2.5,5.95,5.485
2021/1/17 1:00,29.965,7.725,2.4,4.95,5.48
2021/1/17 2:00,29.93,7.7,3.55,4.2,5.335
2021/1/17 3:00,30.035,7.675,1.7,3.25,5.235
2021/1/17 4:00,29.98,7.66,1.5,2.9,5.255
2021/1/17 5:00,29.905,7.645,1.7,3.15,5.31
2021/1/17 6:00,29.85,7.66,1.2,2.9,5.34
2021/1/17 7:00,29.89,7.66,1.05,3.75,5.42
2021/1/17 8:00,30.145,7.64,2.35,3.2,5.405
2021/1/17 9:00,30.44,7.675,1.25,4.6,5.64
2021/1/17 10:00,30.68,7.685,1.3,5.3,5.73
2021/1/17 11:00,30.89,7.73,2.2,6.65,6.045
2021/1/17 12:00,30.89,7.76,2.45,7.2,6.185
2021/1/17 13:00,31.005,7.86,2,10.6,7.02
2021/1/17 14:00,30.97,7.83,3.45,10.15,6.745
2021/1/17 15:00,30.975,7.805,4.3,10.75,6.61
2021/1/17 16:00,31.085,7.785,3.1,11.2,6.625
2021/1/17 17:00,31.165,7.785,3.65,12.6,6.865
2021/1/17 18:00,31.085,7.79,3.2,10.1,6.955
2021/1/17 19:00,30.935,7.77,2,7.8,6.905
2021/1/17 20:00,30.845,7.775,2.25,8.5,6.855
2021/1/17 21:00,30.8,7.75,4.7,11.3,6.665
2021/1/17 22:00,30.675,7.75,3.75,11.35,6.56
2021/1/17 23:00,30.405,7.745,2.6,10.65,6.415
2021/1/18 0:00,30.295,7.72,3.2,9.95,6.155
2021/1/18 1:00,30.225,7.73,2.25,9.35,6.115
2021/1/18 2:00,30.14,7.725,2.1,8.75,5.965
2021/1/18 3:00,30.175,7.68,2.3,6.2,5.67
2021/1/18 4:00,30.225,7.65,1.85,4.75,5.47
2021/1/18 5:00,30.14,7.63,1.2,4.5,5.35
2021/1/18 6:00,30.075,7.61,1.75,3.2,5.29
2021/1/18 7:00,30.145,7.605,1.05,3.95,5.335
2021/1/18 8:00,30.425,7.625,1.05,4.65,5.535
2021/1/18 9:00,30.565,7.635,1.6,5,5.585
2021/1/18 10:00,30.685,7.655,1.6,6.15,5.76
2021/1/18 11:00,31.22,7.74,1,8.8,6.51
2021/1/18 12:00,31.455,7.79,1.4,10.75,6.915
2021/1/18 13:00,31.83,7.89,1.75,12.8,7.77
2021/1/18 14:00,31.695,7.965,1.85,14.6,8.27
2021/1/18 15:00,31.745,8.02,2.55,16.5,8.765
2021/1/18 16:00,31.34,7.905,3.3,12.4,7.645
2021/1/18 17:00,31.36,7.87,3.8,12.25,7.445
2021/1/18 18:00,31.31,7.845,2.25,10.05,7.25
2021/1/18 19:00,31.16,7.83,1.75,8.05,7.115
2021/1/18 20:00,31.04,7.805,1.4,6.35,6.985
2021/1/18 21:00,30.915,7.815,1.9,6.9,6.92
2021/1/18 22:00,30.845,7.795,2.6,9.1,6.875
2021/1/18 23:00,30.735,7.8,2.35,8.25,6.85
2021/1/19 0:00,30.555,7.78,3.75,8.45,6.645
2021/1/19 1:00,30.52,7.795,2,8.95,6.715
2021/1/19 2:00,30.46,7.79,2.2,8.85,6.56
2021/1/19 3:00,30.34,7.8,1.8,8.35,6.46
2021/1/19 4:00,30.29,7.755,2.45,6.85,6.15
2021/1/19 5:00,30.275,7.7,1.7,5.45,5.84
2021/1/19 6:00,30.205,7.685,1.35,3.45,5.68
2021/1/19 7:00,30.16,7.67,0.85,3.25,5.67
2021/1/19 8:00,30.285,7.66,1.1,3.4,5.73
2021/1/19 9:00,30.66,7.665,1.65,3,5.885
2021/1/19 10:00,31.14,7.72,0.2,3.7,6.145
2021/1/19 11:00,31.595,7.735,0.75,4.85,6.38
2021/1/19 12:00,31.74,7.8,2.55,8.1,6.9
2021/1/19 13:00,32.03,7.895,2.25,12.25,7.63
2021/1/19 14:00,32.13,7.915,1.85,9.9,7.82
2021/1/19 15:00,32.16,7.93,1,9,7.895
2021/1/19 16:00,32.01,7.94,1.9,10,7.94
2021/1/19 17:00,31.445,7.855,2.25,5.6,7.005
2021/1/19 18:00,31.295,7.785,2.45,5.05,6.39
2021/1/19 19:00,31.38,7.77,1.85,5.2,6.375
2021/1/19 20:00,31.28,7.715,1.8,4.75,6.17
